"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Parafin liquid";"1500,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:03:07"
"PEG 1000";"4000,00";"Rak Besi + Rak Besi Stok";"Cair";\N;\N
"PEG 400";"2000,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:03:38"
"PEG 600";"1000,00";"Rak Besi + Rak Besi Stok";"Cair";\N;\N
"Potasium alum";"0,00";"-";"Cair";\N;\N
"PPC";"0,00";"-";"Cair";\N;\N
"Propilen glikol";"12000,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:04:09"
"Rees ecker";"100,00";"-";"Cair";\N;"2024-08-10 02:09:57"
"SASA";"1000,00";"Rak Besi Stok";"Cair";\N;\N
"Sirup simplex";"0,00";"-";"Cair";\N;\N
"Sorbitol";"3200,00";"Rak Besi Stok";"Cair";\N;"2024-08-10 02:04:37"
"Sorbitol 70%";"0,00";"-";"Cair";\N;\N
"Span 20";"0,00";"-";"Cair";\N;\N
"Span 80";"12500,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:05:10"
"Spiritus";"13000,00";"Rak Besi Stok";"Cair";\N;"2024-08-10 02:05:43"
"Tapol";"200,00";"Rak Besi Stok";"Cair";\N;"2024-08-10 02:06:08"
"TCA 10%";"0,00";"-";"Cair";\N;\N
"TEA";"9100,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:06:45"
"Turk";"100,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:12:32"
"Tween 60";"2000,00";"-";"Cair";\N;"2024-08-10 02:07:17"
"Tween 80";"6300,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:07:50"
"Wagner";"50,00";"Rak Besi + Rak Besi Stok";"Cair";\N;"2024-08-10 02:11:01"
"1-Naftol";"25,00";"-";"Padat";\N;"2024-08-10 02:13:31"
"Acetanilide";"500,00";"-";"Padat";\N;"2024-08-09 17:17:33"
"Adeps lanae";"3000,00";"Rak Besi";"Padat";\N;"2024-08-09 17:06:54"
"Aerosil";"1500,00";"-";"Padat";\N;"2024-08-09 17:07:49"
"AgNO3";"250,00";"Rak Besi";"Padat";\N;"2024-08-07 19:28:58"
"Aluminium Potasium";"500,00";"Rak Besi";"Padat";\N;\N
"Aluminium Powder";"0,00";"-";"Padat";\N;\N
"Ambroxol";"2000,00";"-";"Padat";\N;"2024-08-10 22:47:27"
"Amilum Manihot";"740,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 17:11:26"
"Amilum Oryzae";"600,00";"-";"Padat";\N;"2024-08-09 17:12:07"
"Aminofilin";"1500,00";"-";"Padat";\N;"2024-08-09 17:12:43"
"Amoksilin serbuk";"900,00";"Rak Besi";"Padat";\N;"2024-08-07 19:30:48"
"Amonium asetat";"300,00";"Rak Besi";"Padat";\N;"2024-08-07 19:31:19"
"Amonium klorida";"2600,00";"Rak Besi";"Padat";\N;"2024-08-09 17:14:19"
"Amonium sulfat";"600,00";"Rak Besi Stok";"Padat";\N;"2024-08-07 19:32:14"
"Amprotab";"500,00";"-";"Padat";\N;"2024-08-08 18:19:16"
"Antalgin";"200,00";"Rak Besi";"Padat";\N;"2024-08-07 19:32:46"
"Asam askorbat";"400,00";"Rak Besi";"Padat";\N;"2024-08-07 19:33:19"
"Asam benzoat";"500,00";"-";"Padat";\N;"2024-08-08 18:19:49"
"Asam borat";"1700,00";"-";"Padat";\N;"2024-08-09 17:14:42"
"Asam kromat";"0,00";"-";"Padat";\N;\N
"Asam Mefenamat";"1400,00";"Rak Besi";"Padat";\N;"2024-08-09 17:15:10"
"Asam Oksalat";"2000,00";"-";"Padat";\N;"2024-08-09 17:15:36"
"Asam pikrat";"0,00";"-";"Padat";\N;\N
"Asam salisilat";"6450,00";"-";"Padat";\N;"2024-08-09 17:16:05"
"Asam sitrat";"5100,00";"-";"Padat";\N;"2024-08-09 17:16:31"
"Asam stearat";"2050,00";"-";"Padat";\N;"2024-08-09 17:16:56"
"Asetosal";"2100,00";"-";"Padat";\N;"2024-08-09 17:17:59"
"Aspirin";"2300,00";"-";"Padat";\N;"2024-08-09 17:18:35"
"Avicel 101";"1000,00";"Rak Besi";"Padat";\N;\N
"Avicel 102";"1500,00";"Rak Besi";"Padat";\N;\N
"Avicel ph 102";"500,00";"Rak Besi";"Padat";\N;"2024-08-07 19:38:13"
"B12";"300,00";"Rak Besi";"Padat";\N;"2024-08-08 18:21:08"
"Barium cloride 2-hydrate";"1250,00";"Rak Besi";"Padat";\N;"2024-08-09 17:19:05"
"Benedict";"500,00";"Rak Besi Stok";"Padat";\N;\N
"C8H8N6O6";"0,00";"-";"Padat";\N;\N
"Caffein";"1250,00";"Rak Besi";"Padat";\N;"2024-08-08 18:21:40"
"Calamin";"500,00";"Rak Besi";"Padat";\N;\N
"Calsium Carbonate";"1500,00";"-";"Padat";\N;"2024-08-09 17:21:08"
"Calsium cloride dyhidrate";"2200,00";"Rak Besi";"Padat";\N;"2024-08-09 17:21:24"
"Carbokyl Metyl Cellulosa";"0,00";"-";"Padat";\N;\N
"Carbopol";"4000,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;\N
"Cera alba";"3500,00";"-";"Padat";\N;"2024-08-09 17:21:54"
"Cera Flava";"4600,00";"-";"Padat";\N;"2024-08-09 17:22:13"
"Cetil Alkohol";"3500,00";"-";"Padat";\N;"2024-08-09 17:22:31"
"Champora";"3500,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 17:23:00"
"Chloramphenicol";"1500,00";"-";"Padat";\N;"2024-08-08 18:23:07"
"CMC Na";"2500,00";"-";"Padat";\N;"2024-08-08 18:23:47"
"Copper (II) asetat";"0,00";"-";"Padat";\N;\N
"Copper (III) Acetate M.";"0,00";"-";"Padat";\N;\N
"CuSO4";"1000,00";"Rak Besi Stok";"Padat";\N;\N
