"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Labu Ukur 1000 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 25 ML";"30,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 250 ML";"10,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 50 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 500 ML";"10,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Piknometer 10 ML";"10,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Piknometer 25 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipa T";"7,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipa";"6,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Alas Bulat 100 ML";"5,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Alas Bulat 1000 ML";"5,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Alas Bulat 500 ML";"10,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Botol infus 250 ML";"10,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Botol infus 100 ML";"100,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Chamber Besar ";"2,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Chamber Kecil";"8,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Cover Glass";"300,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 100 ML";"30,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 1000 ML";"15,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 1000 ML (Corong Pemisah)";"6,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 250 ML";"20,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 250 ML (Corong Pemisah)";"6,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 50 ML";"10,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Erlenmayer 500 ML";"10,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 100 ML";"50,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 1000 ML";"20,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 200 ML";"6,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 250 ML";"37,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 50 ML";"39,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Beaker 500 ML";"33,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kaca Arloji Besar";"12,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kaca Arloji Kecil";"17,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kaca Arloji Sedang";"27,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Lampu Spritus";"26,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Objek Glass";"450,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Prasitologi (Sample Objek Glass)";"1,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Darah";"152,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Durham ";"156,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Haematokrit";"6,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Reaksi (Paling Besar)";"80,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Reaksi (Sedang) 50 ml";"59,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Reaksi Panjang 100 ml";"252,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Reaksi Pendek";"31,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Urin";"26,00";"Lemari Depo II";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Buret 25 ML";"10,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Buret 50 ML";"15,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Pisah 100 ML";"5,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Pisah 125 ML";"5,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Pisah 250 ML";"10,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Destilator";"7,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pendingin Lebigh";"6,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Petri Disk Besar";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Petri Disk Sedang";"100,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Ukur 1 ML";"10,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Ukur 10 ML";"26,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Ukur 2 ML";"17,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Ukur 5 ML";"13,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Volume 1 ML";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Volume 10 ML";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Volume 2 ML";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Volume 25 ML";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Volume 5 ML";"20,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Westegreen";"10,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tabung Kondensor";"5,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Viscometer Oswald";"4,00";"Lemari Depo III";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Asbes";"34,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Asprator + Selang";"4,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Autopen";"2,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Ayakan No.50";"2,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Ball Pipet";"20,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Batang Pengaduk";"39,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Blue Tip";"250,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Botol Semprot ( Besar )";"25,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Botol Semprot (Kecil)";"25,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Cawan 100 ML";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Cawan 250 ML";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Cawan 75 ML";"10,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Porselin";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Eppendorf (1,5 ml)";"1500,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Flat Porselin (Tetes)";"17,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Haemometer";"11,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Hemocytometer";"11,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Hydrometer";"2,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Jangka Sorong Digital";"3,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Jangka Sorong Manual";"4,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Jarum Hypodermic Needles";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Jarum Suntik";"0,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kaca Pembesar";"8,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kain kasa steril";"11,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kaki Tiga ";"14,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kertas Perkamen";"11,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Kertas saring";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Krus Tang";"4,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Lancet";"400,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Master Refractometer";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Micrometer Manual";"3,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 0.5 - 10 UL";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 1 - 10 UL";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 5 - 50 UL";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 100-1000 UL";"15,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 10-100 UL";"6,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mikropipet 1000 UL";"6,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mortir besar";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Mortir kecil";"15,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Ose";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Phantom Ginjal";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Phantom Sistem Pencernaan";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Phantom Alat Reproduksi Perempuan";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Phantom Alat Reproduksi Laki-laki";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pencetak SUPPO";"6,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Penjepit Besi";"20,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Penjepit Kayu";"20,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Penyangga LED";"4,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"PH Meter";"6,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Tetes";"144,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Tetes Panjang";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pipet Tetes Pendek";"50,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Pump Pipet";"15,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Rak Tabung Besi (Panjang)";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Rak Tabung Besi (Pendek)";"6,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Rak Tabung Kayu";"20,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Rak Tabung Plastik";"19,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Spatula Plastik";"30,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Spatula Porselin";"17,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Sptula Besi";"25,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Spuit (Jarum Suntik Sterill)";"200,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Stamper";"56,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Statif";"15,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Stopwach";"4,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tempat Urine";"8,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tensi";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Thermometer (Digital)";"7,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Thermometer (Manual)";"5,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tourniquit";"13,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Tube Salep";"9,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Urinenometer";"1,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Vortex Mirex";"2,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Wadah Urine";"50,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Yellow Tip";"100,00";"Lemari Depo VI";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Amilum Solani";"400,00";"Rak Besi";"Padat";"2024-08-10 17:07:32";"2024-08-10 17:07:32"
"Alumunium Potassium Sulfate Dodecahydrate";"500,00";"Rak Besi";"Padat";"2024-08-10 17:08:46";"2024-08-10 17:08:46"
"Butilhidroksituluena (BHT)";"2500,00";"Rak Besi";"Padat";"2024-08-10 17:10:01";"2024-08-10 17:10:01"
"Amilum";"800,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 17:12:37";"2024-08-10 17:12:37"
"Amilum Tritici";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:13:33";"2024-08-10 17:13:33"
"Asam Tartrat";"2000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:18:15";"2024-08-10 17:18:15"
"Benzidin";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:19:44";"2024-08-10 17:19:44"
"Bentonit Magma";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:20:30";"2024-08-10 17:20:30"
"Bismuth Subnitrat";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:22:24";"2024-08-10 17:22:24"
"Carmin";"2000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 17:23:57";"2024-08-10 17:23:57"
"Calcii Lactat";"1200,00";"Rak Besi";"Padat";"2024-08-10 17:25:07";"2024-08-10 17:25:07"
"Ceto Stearyl";"1000,00";"Rak Besi";"Padat";"2024-08-10 17:25:58";"2024-08-10 17:25:58"
"Ferri Nitrat";"500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 17:26:46";"2024-08-10 17:26:46"
"Efedrin HCL";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:06:40";"2024-08-10 18:06:40"
"Mangan Sufat (MnSO4)";"500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 18:07:58";"2024-08-10 18:07:58"
"Iron (II) Chloride Tetrahydrate";"500,00";"Rak Besi";"Padat";"2024-08-10 18:08:50";"2024-08-10 18:08:50"
"Mangan Sulfat";"250,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 18:09:38";"2024-08-10 18:09:38"
"Magnesium Klorida (MgCl2)";"1000,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 18:14:53";"2024-08-10 18:14:53"
"PEG 6000";"40000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:28:17";"2024-08-10 18:28:17"
"Sodium Thiosulfat (Na2S2O3)";"2000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:29:21";"2024-08-10 18:29:21"
"Indocol (Pewarna Orange)";"500,00";"Rak Besi";"Padat";"2024-08-10 18:32:56";"2024-08-10 18:32:56"
"Propil Paraben";"1500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 18:43:34";"2024-08-10 18:43:34"
"Sodium Benzoat";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:52:16";"2024-08-10 18:52:16"
"Sodium Sulfate";"1500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:53:22";"2024-08-10 18:53:22"
"Potassium Chromate";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:54:03";"2024-08-10 18:54:03"
"Sodium Oxalate";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 18:55:25";"2024-08-10 18:55:25"
"Potassium Thiocyanate";"250,00";"Rak Besi";"Padat";"2024-08-10 20:53:51";"2024-08-10 20:53:51"
"Ammonium Molybdate";"200,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 21:49:47";"2024-08-10 21:49:47"
"di-Sodium Hydrogen Phospate";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 21:50:39";"2024-08-10 21:50:39"
"Ammonium Perosulphate";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 21:51:37";"2024-08-10 21:51:37"
"Manitol";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:17:05";"2024-08-10 22:17:05"
"Sodium Sulfide";"2000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:18:06";"2024-08-10 22:18:06"
"Natrium Molybdate";"25,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:18:47";"2024-08-10 22:18:47"
"Aniline Sulfate";"25,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:20:21";"2024-08-10 22:21:13"
"Asam Oksalat";"1500,00";"Rak Besi Stok";"Cair";"2024-08-10 22:23:30";"2024-08-10 22:23:30"
"Larutan Penyangga B";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:24:34";"2024-08-10 22:24:34"
"Solution Ammoniae Spiritus";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:25:10";"2024-08-10 22:25:10"
"Etilen Glikol";"500,00";"Rak Besi";"Cair";"2024-08-10 22:25:44";"2024-08-10 22:25:44"
"Aqua Rosae";"3000,00";"Rak Besi Stok";"Cair";"2024-08-10 22:26:16";"2024-08-10 22:26:16"
"Karbopol";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:27:41";"2024-08-10 22:27:41"
"PEG 600";"2000,00";"Rak Besi";"Cair";"2024-08-10 22:28:23";"2024-08-10 22:28:23"
"PCO";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:28:44";"2024-08-10 22:28:44"
"Oleum citrus";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:33:20";"2024-08-10 22:33:20"
"Iron (II) Sulfate";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:34:07";"2024-08-10 22:34:07"
"C8H8N6O6";"100,00";"Lemari Kayu Berpintu";"Padat";"2024-08-10 22:34:18";"2024-08-10 22:34:18"
"Solution Hydratis Calcii";"2000,00";"Rak Besi";"Cair";"2024-08-10 22:34:20";"2024-08-10 22:34:20"
"Isopropyl Alkohol";"2000,00";"Rak Besi";"Cair";"2024-08-10 22:35:20";"2024-08-10 22:35:20"
"Potato Dextrose Agar (PDA)";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:35:26";"2024-08-10 22:35:26"
"Buffer Phospat pH 8,2";"1000,00";"Lemari Kayu Berpintu";"Cair";"2024-08-10 22:36:43";"2024-08-10 22:36:43"
"Metyhlen Blue";"1000,00";"Rak Besi Stok";"Cair";"2024-08-10 22:36:54";"2024-08-10 22:36:54"
"NaCl 0,9% (Infus)";"6000,00";"Rak Besi";"Cair";"2024-08-10 22:37:53";"2024-08-10 22:37:53"
"Reagen Hayem";"100,00";"Rak Besi Stok";"Cair";"2024-08-10 22:38:22";"2024-08-10 22:38:22"
"Parafin Liquid";"5000,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-10 22:39:00";"2024-08-10 22:39:00"
"Pereaksi Biuret";"100,00";"Rak Besi";"Cair";"2024-08-10 22:39:39";"2024-08-10 22:39:39"
"NH4OH";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:40:02";"2024-08-10 22:40:02"
"Etanol P.A";"3000,00";"Lemari Kayu Berpintu";"Cair";"2024-08-10 22:40:35";"2024-08-10 22:40:35"
"Xylol";"1000,00";"Lemari Kayu Berpintu";"Cair";"2024-08-10 22:41:03";"2024-08-10 22:41:03"
"NH4OH";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:41:14";"2024-08-10 22:41:14"
"Cyclopentanone";"250,00";"Lemari Kayu Berpintu";"Cair";"2024-08-10 22:41:43";"2024-08-10 22:41:43"
"CaOH2";"1000,00";"Rak Besi";"Cair";"2024-08-10 22:41:57";"2024-08-10 22:41:57"
"Reagen Molisch";"100,00";"Rak Besi";"Cair";"2024-08-10 22:42:13";"2024-08-10 22:42:13"
"Reagen Pandy";"50,00";"Rak Besi";"Cair";"2024-08-10 22:42:42";"2024-08-10 22:42:42"
"Reagen Schlesinger";"200,00";"-";"Cair";"2024-08-10 22:42:48";"2024-08-12 18:07:40"
"Reagen Millon";"200,00";"Rak Besi";"Cair";"2024-08-10 22:43:55";"2024-08-10 22:43:55"
"Aquadest";"50000,00";"Rak Besi";"Cair";"2024-08-10 22:45:15";"2024-08-10 23:03:50"
"Aluminium Pottasium Sulfate Dodecahydrate";"500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:45:55";"2024-08-10 22:45:55"
"Desinfektan";"20000,00";"Rak Besi";"Cair";"2024-08-10 22:46:01";"2024-08-10 22:46:01"
"Amilum";"300,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:46:49";"2024-08-10 22:46:49"
"BCB";"100,00";"Rak Besi";"Cair";"2024-08-10 22:47:14";"2024-08-10 22:47:14"
"Reagen Fauchet";"100,00";"Rak Besi";"Cair";"2024-08-10 22:48:00";"2024-08-10 22:48:00"
"Pyridin";"30,00";"Rak Besi";"Cair";"2024-08-10 22:48:41";"2024-08-10 22:48:41"
"Butilhidroksitoluena (B.H.T)";"2000,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:48:59";"2024-08-10 22:48:59"
"Frohde";"25,00";"Rak Besi";"Cair";"2024-08-10 22:49:37";"2024-08-10 22:49:37"
"Calcii Lactat";"200,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:49:46";"2024-08-10 22:49:46"
"Phenol Red";"200,00";"Rak Besi";"Cair";"2024-08-10 22:50:25";"2024-08-10 22:50:25"
"Ceta Stearyl";"1000,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:51:23";"2024-08-10 22:51:23"
"Feri Nitrat";"500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:52:01";"2024-08-10 22:52:01"
"Iron (II) Chloride Tetrahydrate";"500,00";"Rak Besi";"Padat";"2024-08-10 22:52:48";"2024-08-10 22:52:48"
"Mangan Sulfat";"250,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:54:00";"2024-08-10 22:54:00"
"Na2S2O3 (Sodium Thiosulfat)";"1000,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:55:32";"2024-08-10 22:55:32"
"EBT";"25,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-10 22:56:00";"2024-08-10 22:56:00"
"Propil Paraben";"1500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:56:51";"2024-08-10 22:56:51"
"2-Propanolol";"500,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-10 22:56:56";"2024-08-10 22:56:56"
